split,model,note,rmse,mae,mape,smape,wape,bias
test,blend_ridge_direct_hgb_direct,ridge_direct=0.70,1362.0776482647595,953.2372719812869,1.819961718148721,1.8152074782980083,1.8642355556890569,53.616491319057204
test,ridge_direct,alpha=20.0,1397.3897287537206,952.4100297339363,1.8138790924124384,1.8059913400952583,1.862617727204997,141.44319043979203
test,hgb_direct,"learning_rate=0.03,max_depth=12,max_iter=450,min_samples_leaf=30,l2_regularization=0.2",1476.5926169299894,1073.6425276220043,2.056975809737132,2.059541752130454,2.0997107781283892,-151.3124732959908
test,hgb_residual_on_day_ahead,"learning_rate=0.03,max_depth=10,max_iter=350,min_samples_leaf=25,l2_regularization=0.1",1497.3951952797365,1101.8228231277149,2.1212353411896987,2.1207827137157347,2.1548226693602306,-47.92742364631742
test,day_ahead,,1634.619742322299,1097.0994909764,2.07913198451418,2.0590703119913405,2.145585301082017,380.408144377603
test,naive_24,,3560.5608782465915,2530.7829708468303,4.800073207333799,4.800235683074938,4.9494241745067455,-40.32022211938917
test,avg_24_168,,4098.383019324959,2910.9632114761685,5.59032971067873,5.532220057276805,5.6929384526240066,-8.003933364183249
test,naive_168,,6375.204456748043,4591.571957427117,8.827285444933617,8.645602500717636,8.979686329038621,24.312355391022674
validation,blend_ridge_direct_hgb_direct,ridge_direct=0.70,1630.7628085855313,1200.473229075169,2.2822217638828985,2.246826065615961,2.2114228499538435,536.1422174065597
validation,ridge_direct,alpha=20.0,1642.888937594331,1218.9660395105868,2.32811090581396,2.2896676269452954,2.2454889353660548,634.9444006906027
validation,hgb_direct,"learning_rate=0.03,max_depth=12,max_iter=450,min_samples_leaf=30,l2_regularization=0.2",1707.0233357950274,1247.9559407365225,2.326849938231457,2.297321169712223,2.298891983794155,305.6037897437927
validation,hgb_residual_on_day_ahead,"learning_rate=0.03,max_depth=10,max_iter=350,min_samples_leaf=25,l2_regularization=0.1",1735.509253217591,1276.5049851839055,2.3771403995319313,2.3466163155826534,2.35148291852406,293.4826034439705
validation,day_ahead,,1807.2547200397792,1299.9498106060605,2.481028078058734,2.4279553396974904,2.394671239093003,937.7916666666666
validation,naive_24,,3017.0024662947803,2211.340909090909,4.165759421778814,4.1331997203719455,4.073568403660866,138.78030303030303
validation,avg_24_168,,3298.357387651638,2604.5866477272725,4.873146162345418,4.831654310978961,4.7979765712110805,368.3541666666667
validation,naive_168,,5081.258284405636,4000.6079545454545,7.445484505831064,7.3553162776078835,7.369623603522239,597.9280303030303
